@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
'Private room','Sarrià-Sant Gervasi','0','5.0','2','1.0','0','8','8'
'Entire home/apt','Sant Martí','0','4.0','3','1.0','0','8','16'
'Entire home/apt','Gràcia','0','5.0','4','2.0','0','8','10'
'Private room','Eixample','0','4.5','2','1.0','0','4','10'
'Private room','Eixample','2','4.5','3','1.0','0','6','9'
'Private room','Eixample','0','4.5','2','1.0','0','5','8'
'Entire home/apt','Horta-Guinardó','0','4.5','4','2.0','0','11','10'
'Private room','Sant Martí','0','4.5','2','1.0','0','10','15'
'Private room','Eixample','0','5.0','2','1.0','0','7','10'
'Entire home/apt','Ciutat Vella','0','4.5','7','3.0','1','4','13'
'Entire home/apt','Sants-Montjuïc','2','5.0','6','3.0','0','3','12'
'Entire home/apt','Gràcia','0','5.0','4','2.0','0','8','10'
'Private room','Nou Barris','0','3.5','2','1.0','0','13','11'
'Entire home/apt','Eixample','0','5.0','4','2.0','1','6','11'
'Entire home/apt','Ciutat Vella','0','4.5','3','2.0','0','4','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','13'
'Entire home/apt','Sant Martí','0','4.0','4','2.0','0','9','14'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','4','8'
'Private room','Sant Martí','0','4.5','2','1.0','0','11','18'
'Private room','Eixample','0','4.5','2','1.0','0','5','9'
'Entire home/apt','Eixample','0','5.0','4','1.0','0','4','9'
'Entire home/apt','Gràcia','2','4.5','4','2.0','0','8','10'
'Private room','Sants-Montjuïc','0','3.0','2','1.0','0','4','5'
'Entire home/apt','Sant Martí','0','4.5','4','2.0','0','10','18'
'Entire home/apt','Ciutat Vella','1','5.0','2','1.0','0','5','11'
'Entire home/apt','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Private room','Eixample','0','4.5','2','1.0','0','4','9'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','5','13'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','13'
'Entire home/apt','Gràcia','0','5.0','2','1.0','0','8','10'
'Private room','Nou Barris','0','4.5','2','1.0','0','14','12'
'Private room','Sant Martí','0','5.0','1','1.0','0','10','13'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','11'
'Private room','Eixample','0','5.0','1','2.0','0','5','9'
'Private room','Eixample','0','4.5','2','1.0','0','7','12'
'Entire home/apt','Eixample','0','4.5','6','3.0','0','4','10'
'Entire home/apt','Sants-Montjuïc','2','5.0','4','2.0','0','3','11'
'Private room','Eixample','0','4.5','7','3.0','0','8','13'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','5','10'
'Private room','Gràcia','0','4.5','2','1.0','0','11','8'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','8'
'Entire home/apt','Ciutat Vella','0','4.5','2','0.0','0','5','10'
'Private room','Sarrià-Sant Gervasi','0','5.0','1','1.0','0','7','5'
'Entire home/apt','Eixample','4','5.0','4','2.0','0','5','8'
'Private room','Eixample','0','4.5','1','1.0','0','5','9'
'Entire home/apt','Horta-Guinardó','0','4.5','6','3.0','0','11','12'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','6'
'Entire home/apt','Eixample','0','4.0','3','2.0','0','6','9'
'Entire home/apt','Eixample','2','5.0','10','5.0','1','6','11'
'Entire home/apt','Sant Martí','0','4.5','8','4.0','1','10','16'
'Private room','Sant Martí','0','4.5','2','1.0','0','11','18'
'Private room','Eixample','1','5.0','2','1.0','0','7','13'
'Entire home/apt','Sants-Montjuïc','1','4.5','8','3.0','0','4','10'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','9','12'
'Entire home/apt','Ciutat Vella','1','4.0','2','1.0','0','5','11'
'Private room','Sant Martí','1','4.5','1','1.0','0','9','14'
'Private room','Gràcia','0','4.5','1','1.0','0','9','10'
'Private room','Eixample','0','4.5','2','1.0','0','6','8'
'Entire home/apt','Sarrià-Sant Gervasi','0','5.0','7','4.0','0','7','8'
'Entire home/apt','Eixample','2','4.0','6','4.0','1','7','13'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','6','12'
'Entire home/apt','Ciutat Vella','0','4.5','7','4.0','0','5','11'
'Entire home/apt','Sants-Montjuïc','1','4.5','16','2.0','0','4','7'
'Private room','Sants-Montjuïc','1','4.5','2','1.0','0','4','10'
'Private room','Eixample','0','4.5','2','1.0','0','8','13'
'Entire home/apt','Ciutat Vella','0','4.0','5','3.0','0','5','12'
'Entire home/apt','Sants-Montjuïc','0','4.5','2','1.0','0','3','10'
'Private room','Eixample','0','5.0','2','1.0','0','7','11'
'Private room','Ciutat Vella','0','4.5','3','1.0','0','5','13'
'Entire home/apt','Sants-Montjuïc','0','5.0','6','3.0','0','3','10'
'Private room','Gràcia','0','4.5','2','1.0','0','8','10'
'Private room','Eixample','1','4.5','2','1.0','0','5','8'
'Entire home/apt','Eixample','1','4.5','9','3.0','0','6','10'
'Entire home/apt','Ciutat Vella','0','4.5','2','0.0','0','5','10'
'Entire home/apt','Eixample','1','4.5','6','2.0','0','6','12'
'Entire home/apt','Eixample','2','4.5','8','3.0','0','6','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','12'
'Entire home/apt','Ciutat Vella','0','4.0','2','1.0','0','4','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Private room','Eixample','0','4.5','2','1.0','0','7','11'
'Entire home/apt','Ciutat Vella','2','4.5','5','2.0','0','5','13'
'Entire home/apt','Sants-Montjuïc','0','5.0','2','3.0','0','4','7'
'Private room','Eixample','0','4.5','1','3.0','0','6','11'
'Private room','Sant Martí','0','5.0','2','1.0','0','10','13'
'Private room','Eixample','1','4.5','2','1.0','0','4','9'
'Private room','Eixample','1','4.5','1','1.0','0','5','9'
